UNIQUE ID CODE ,seasonyear,seasonphase,year,month,day,date_local,time_local,time (UTC),date (UTC),loc id,site name nickname,location,latitude,longitude,Latitude DMS specific,Longitude DMS specific,Latitude DD specific,Longitude DD specific,operator id,ship operator,Vessel Name,secchi depth,euphotic zone (Zeu),secchi,CTD cast,CTD cast file name,Lugol collected (#),Micro processed (Y/N),Microscopy Sample ID,Net + lugol collected (#),Filter collected (#),Genetics_18sv9_Sample ID,d180 isotope,HydroColor,Comments
FP_NH_20160214_1,2015 2016,0,2016,02,14,14/Feb/16,,,2016-02-14,NH,Neko Harbour,Neko Harbour,-64.85090,-62.54185,-64°49'59.88'',-62º33',,,PL,Polar Latitudes,,NA,NA,,,,1,Y,33,,0,NA,NA,,
FP_NH_20160222_1,2015 2016,0,2016,02,22,22/Feb/16,,,2016-02-22,NH,Neko Harbour,Neko Harbour,-64.85090,-62.54185,-64°49'59.88'',-62º33',,,PL,Polar Latitudes,,NA,NA,,,,1,Y,38,,0,NA,NA,,
FP_NH_20160303_1,2015 2016,0,2016,03,03,3/Mar/16,,,2016-03-03,NH,Neko Harbour,Neko Harbour,-64.85090,-62.54185,-64°49'59.88'',-62º33',,,PL,Polar Latitudes,,NA,NA,,,,1,Y,41,,0,NA,NA,,
FP_CI_20161116_1,2016 2017,1,2016,11,16,16/Nov/16,,,2016-11-16,CI,Between Cuverville and Ronge Island,Cuverville Island,-64.67100,-62.61100,-64º40'4.8'',-62º37'48'',,,GA,G Adventures,,NA,NA,,,,1,Y,1,,0,NA,NA,,
FP_CC_20161118_1,2016 2017,1,2016,11,18,18/Nov/16,,,2016-11-18,CC,Cierva Cove,Cierva Cove,-64.15600,-60.87300,64º9'18'',60º55'12'',,,GA,G Adventures,,NA,NA,,,,1,Y,2,,0,NA,NA,,
FP_MH_20161118_1,2016 2017,1,2016,11,18,18/Nov/16,,,2016-11-18,MH,Mikkelsen Harbour,Mikkelsen Harbour,-63.89600,-60.77600,63º54'18'',60º46'44.4'',,,GA,G Adventures,,NA,NA,,,,1,Y,3,,0,NA,NA,,
FP_CC_20161124_1,2016 2017,1,2016,11,24,24/Nov/16,,,2016-11-24,CC,Cierva Cove,Cierva Cove,-64.15600,-60.87300,64° 8' 0.24'',60°55'42.3'',,,PL,Polar Latitudes,,NA,NA,,,,1,Y,4,,0,NA,NA,,
FP_PP_20161124_1,2016 2017,1,2016,11,24,24/Nov/16,,,2016-11-24,PP,Portal Point,Portal Point,-64.50200,-61.75600,64°29'13.26'',61°43'49.26'',-64.487017,-61.73035,PL,Polar Latitudes,,NA,NA,,,,1,Y,5,,0,NA,NA,,
FP_WH_20161125_1,2016 2017,1,2016,11,25,25/Nov/16,,,2016-11-25,WH,Wilhelmina Bay,Wilhelmina Bay,-64.64200,-62.16000,64° 37'13.44'',62°12'7.14'',,,PL,Polar Latitudes,,NA,NA,,,,1,Y,6,,0,NA,NA,,
FP_WH_20161208_1,2016 2017,1,2016,12,08,8/Dec/16,,,2016-12-08,WH,Wilhelmina Bay,Wilhelmina Bay,-64.64200,-62.16000,"64º39'24,84''","62º8'8,16''",,,GA,G Adventures,,NA,NA,,,,1,Y,7,,0,NA,NA,,
FP_DI_20161210_1,2016 2017,1,2016,12,10,10/Dec/16,,,2016-12-10,DI,Danco Island 1,Danco Island,-64.74600,-62.62200,"64º42'59,04''","62º35'18,96''",,,GA,G Adventures,,NA,NA,,,,1,Y,8,,0,NA,NA,,
FP_PP_20161214_1,2016 2017,1,2016,12,14,14/Dec/16,,,2016-12-14,PP,Portal Point,Portal Point,-64.50200,-61.75600,64°29'13.26'',61°43'49.26'',-64.487017,-61.73035,PL,Polar Latitudes,,NA,NA,,,,1,Y,10,,0,NA,NA,,
FP_WH_20161214_1,2016 2017,1,2016,12,14,14/Dec/16,,,2016-12-14,WH,Wilhelmina Bay,Wilhelmina Bay,-64.64200,-62.16000,64°37'13.44'',62°12'7.14'',,,PL,Polar Latitudes,,NA,NA,,,,1,Y,9,,0,NA,NA,,
