FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_5616,"Abbott, Isla","Abbott, Isla",105052,,Island,"Probablemente fue descubierta por la Expedición Antártica Francesa de 1903-1905 al mando del profesor Jean B. Charcot en el buque expedicionario ""Français"". Isla pequeña ubicada al W de la isla Davis, en el interior de la bahía Bouquet, la que se forma entre la isla Brabante y la isla Lieja, Archipiélago de Palmer.",CHL,-64.1,-62.1333,POINT (-62.133333 -64.1),7,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_5617,"Aconcagua, Punta","Aconcagua, Punta",105053,,Head,"El nombre corresponde al de la provincia de Aconcagua, Chile, y fue puesto por la Expedición Antártica Chilena de 1948-1949, al mando del capitán de navío Sr. Leopoldo Fontaine. En cartas chilenas de 1947 apareció como Aconcagua, sin indicación del tipo de accidente. Punta que se ubica sobre la ribera N del estrecho Inglés, a 1,7 milla al SE del cabo Morris, y que constituye el extremo de una saliente que separa a la caleta Nailon de la bahía Carlota, en la costa SW de la isla Robert, islas Shetland del Sur.",CHL,-62.4,-59.65,POINT (-59.65 -62.4),44,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_5618,"Active, Estrecho","Active, Estrecho",105054,,Sound,"Fue descubierto por Thomas Robertson, capitán del ""Active"", uno de los cuatro buques de la Expedición Ballenera Dundee de 1892-1893, montada por R. Kinnes, del puerto de Dundee, Escocia. Robertson le puso el nombre de su buque, que fue el primero en navegar este estrecho. En una carta chilena, editada en 1947 y en 1951, figuró como paso Activo, hasta que en la edición de 1961 de esa misma carta se adoptó el nombre original de estrecho Active. Estrecho que separa a la isla Joinville de la isla Dundee. Tiene un ancho medio de 2 millas y, a partir del paso Antarctic, corre 11 millas hacia el ENE.",CHL,-63.4167,-56.2,POINT (-56.2 -63.416667),47,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_5619,"Acuña, Islote","Acuña, Islote",105055,,Island,"El nombre original fue islote Subtte. Acuña y fue dado por la Expedición Antártica Chilena de 1947-1948, bajo la dirección del capitán de fragata Sr. Ernesto González Navarrete y corresponde al apellido de un subteniente integrante de la expedición. La versión actual del nombre data de 1951. Islote pequeño ubicado a 1,1 milla al NW del cabo Legoupil y a 6,5 cables directamente al S del islote Labbé, frente a la costa occidental de la península Tierra de O'Higgins.",CHL,-63.3,-57.9333,POINT (-57.933333 -63.3),51,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_561a,"Adams, Cabo","Adams, Cabo",105056,,Cape,"Fue descubierto por la Expedición Antártica de los Estados Unidos de Norteamérica de 1947-1948, al mando del capitán de fragata Finn Ronne, USNR, en el buque expedicionario ""Port of Beaumont"", Texas. Ronne le puso el nombre por el teniente Charles J. Adams, USAAF, piloto de la expedición. Cabo acantilado de roca desnuda que constituye el extremo S de la península Bowman y el lado N de la entrada a ensenada Gardner, en la costa oriental de la Tierra de O'Higgins.",CHL,-75.0667,-62.3333,POINT (-62.333333 -75.066667),65,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_561b,"Adelaida, Isla","Adelaida, Isla",105057,,Island,"En 1830-1832, los armadores ingleses hermanos Enderby enviaron una expedición cazadora de focas, integrada por las naves ""Tula"" y ""Lively"" al mando del capitán John Biscoe, las que en febrero de 1832 avistaron desde lejos unos picos que podrían ser de la isla Adelaida, pero la descripción hecha por Biscoe no concuerda con lo que vio Charcot en 1908-1910, que navegó esta zona y a quien se reconoce como descubridor de esta región. Charcot fue el primero en levantar la isla, aunque mantuvo el nombre dado por Biscoe a lo por él avistado, en honor a la Reina Adelaide de Inglaterra. El nombre actual es la traducción al castellano. Gran isla que se extiende por 74 millas en sentido NNE-SSW, con un ancho medio de 20 millas, y que está ubicada al N de la bahía Margarita, frente a la costa occidental de la península Tierra de O'Higgins.",CHL,-67.1833,-68.3833,POINT (-68.383333 -67.183333),74,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_561c,"Adie, Ensenada","Adie, Ensenada",105058,,Inlet,"Fue cartografiada por el FIDS y fotografiada desde el aire por la RARE, al mando de Ronne, durante 1947. El nombre fue puesto por el FIDS y corresponde al apellido de R. J. Adie, geólogo sudafricano integrante de la expedición. Ensenada de aproximadamente 15 millas de saco, en dirección NNW-SSE, que se ubica al E de la península Churchill, entre ésta y la península Veier, en la costa oriental de la península Tierra de O'Higgins.",CHL,-66.3167,-62.3333,POINT (-62.333333 -66.316667),80,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_561d,"Adriana, Islote","Adriana, Islote",105059,,Island,"Pequeño islote situado a pocos metros de la parte N del extremo occidental de la isla De Ronge, al cual está ubicada frente a la península Arctowsky de la costa occidental de la península Tierra de O´Higgins.",CHL,-64.6667,-62.7833,POINT (-62.783333 -64.666667),91,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_561e,"Adriasola, Cabo","Adriasola, Cabo",105060,,Cape,"Fue descubierto por la Expedición Antártica Francesa de 1908-1910, al mando del Dr. Jean B. Charcot, quien le dio este nombre que corresponde al apellido de J. Adriasola, un ciudadano chileno conocido suyo, residente en la ciudad de Punta Arenas, Chile. Cabo rocoso que constituye el extremo SW de la isla Adelaida, en la parte N de la bahía Margarita y frente a la costa occidental de la península Tierra de O'Higgins.",CHL,-67.6333,-69.15,POINT (-69.15 -67.633333),92,Chile,152
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_561f,"Advent, Islote","Advent, Islote",105061,,Island,"Es posible que este islote haya sido avistado por la Expedición Antártica Francesa de 1903-1905, en el buque expedicionario ""Français"" al mando del Dr. Jean B. Charcot. El nombre parece ser descriptivo de su posición en la llegada (advent) por el S a tomar el canal Peltier. Islote situado a aproximadamente 8 cables al S de punta Py y al centro de la boca S del canal Peltier, que separa a la isla Doumer de la isla Wiencke, en el archipiélago de Palmer.",CHL,-64.9,-63.6,POINT (-63.6 -64.9),1013,Chile,152
