FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c25,"25 de Mayo, bahía","25 de Mayo, bahía",100001,,Bay,,ARG,-62.0833,-58,POINT (-58 -62.083333),7526,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c26,"25 de Mayo, isla","25 de Mayo, isla",100002,,Island,,ARG,-62,-58.5,POINT (-58.5 -62),7527,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c27,"Aagaard, glaciar","Aagaard, glaciar",100003,,,"Al este de la península Palmer. Cartografiado por el F.I.D.S. y designado en homenaje a Bjarne Aagaard, autoridad noruega en la caza de la ballena y exploración antártica. Fotografiado por la RARE desde el aire en el año 1947. Aparece por primera vez en la cartografía del SHN en 1957 (carta 110) y en la publicación en TSAA1, en 1982. SHN carta H-7.",ARG,-66.7833,-64.5167,POINT (-64.516667 -66.783333),1,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c28,"Abbott, islas","Abbott, islas",100004,,Island,"Entre isla Brabante e isla Lieja. Bautizada en honor de Maude Abbott (1869-1940), autoridad americana en enfermedades congénitas del corazón. SHN carta H-714.",ARG,-64.1,-62.1333,POINT (-62.133333 -64.1),7,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c29,"Ablación, punta","Ablación, punta",100005,,Point,"En la costa este de la isla Alejandro I, marca el lado norte de la entrada al valle Ablación. Fue fotografiada por primera vez desde el aire en 1935 por Lincoln Ellsworth. Posteriormente se la bautizó con el nombre de valle Ablation. El topónimo propuesto por Fuchs, deriva del cercano y preexistente nombre del valle. SHN carta H-7.",ARG,-70.8,-68.3667,POINT (-68.366667 -70.8),17,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c2a,"Abovedada, punta","Abovedada, punta",100006,,Head,"Hacia el SE de la isla Nansen Norte, en el estrecho de Gerlache. Accidente estudiado por el ARA ""ZAPIOLA"" en la Campaña Antártica 1973-74 y llamada así por su forma característica cuando está cubierta de nieve. Topónimo aprobado por la Comisión de Coordinación Geográfica en 1978.Publicado en TSAA2. SHN carta H-714.",ARG,-64.55,-61.9833,POINT (-61.983333 -64.55),20,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c2b,"Abrigo, islas","Abrigo, islas",100007,,Island,"Al NW de las islas Argentinas, costa oeste de la península Antártica. Cartografiadas y denominadas Shelter por la British Graham Land Expedition 1934/37 comandada por John Rymill. El nombre es traducción y se denominaron así a partir del Suplemento Antártico 1958. SHN carta H-715. Publicado en TSAA2.",ARG,-65.25,-64.3,POINT (-64.3 -65.25),13141,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c2c,"Acantilado, islote","Acantilado, islote",100008,,Cliff,"Al oeste de la península Antártica y al este de isla Cordero, en el archipiélago Biscoe. Descubierto y denominado descriptivamente Cliff (acantilado) por la BGLE en 1934/37 al mando de John Rymill. El nombre actual es traducción y fue aprobado por el CON el 14 de Agosto de 1964. Publicado en TSAA1. SHN carta H-715.",ARG,-66.0833,-65.5833,POINT (-65.583333 -66.083333),2762,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c2d,"Access, punta","Access, punta",100009,,Point,Al NW de cabo Lancaster y al S de isla Amberes. Relevada por A.J. Rennie del FIDS en 1955. Es un lugar de desembarco para botes que permite el acceso al interior de la isla Amberes. Esta condición de accesibilidad da origen al topónimo. SHN Carta H-714/H-715.,ARG,-64.8167,-63.7833,POINT (-63.783333 -64.816667),30,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c2e,"Aciar, monte","Aciar, monte",100010,,Mountain,,ARG,-64.4167,-62.5667,POINT (-62.566667 -64.416667),40,Argentina,32
