FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37e8,Aagaard Glacier,Aagaard Glacier,107421,,Glacier,"flowing S into head of Mill Inlet, Foyn Coast, mapped by FIDS from  ""Hope Bay"" , 1946-47, and photographed from the air by RARE in 1947; named after Consul Bjarne Aagaard (1873-1956), Norwegian Antarctic bibliographer and historian, in association with similar names in this area (APC, 1955, p.4; DCS 601 sheet W 66 64). Aargaard [sic] Glacier (BA chart 3570, 21.ix.1957). Glaciar Aargaard (Argentina. MM chart 110, 1957). Lednik Ogora (Soviet Union. MMF chart, 1961). Glaciar Alderete, after Gerónimo de Alderete who was appointed third Governor of the Antarctic Regions by King Charles V of Spain in 1554, and named Governor of  "" Terra Australis "" and Captain-General of the Province of Chile in 1555 (Chile. IHA, 1974, p.22).  Glaciar Aagaard (Argentina.AA, 1991 p.1)",GBR,-66.7333,-64.4833,POINT (-64.483333 -66.733333),1,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37e9,Mount Aaron,"Aaron, Mount",107422,,Mountain,"rising to c. 1500m in Latady Mountains, W of Nantucket Inlet, Lassiter Coast, was photographed from the air by USN, 1965-67, and mapped from air photographs by USGS; named after W.T. Aaron, USN, electrician,  South Pole Station , winter 1963 (USGS sketch map Ellsworth Land-Palmer Land, 1969; APC, 1975, p.3; BAS 500P sheet SS 17-20/SE, 1-DOS 1981).",GBR,-74.5167,-64.8833,POINT (-64.883333 -74.516667),4,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37ea,Abbott Island,Abbott Island,107423,,Island,"near head of Bouquet Bay, between Brabant Island and Liège Island, was photographed from the air by FIDASE, 1956-57; in association with the names of pioneers of medicine grouped in this area, named after Maude Abbott (1869-1940), American authority on congenital heart disease (APC, 1960, p.2; BA chart 3560, 7.iv.1961). Isla Abbott (Chile. DNH chart 1400, 1961; IHA, 1974, p.17).  Islas Abbott (Argentina.AA, 1991, p.1)",GBR,-64.1,-62.15,POINT (-62.15 -64.1),7,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37eb,Abel Nunatak,Abel Nunatak,107424,,Nunatak,"E of two isolated nunataks, rising to c. 200m on S side of Broad Valley, Trinity Peninsula, was so named following geological survey by FIDS from  Hope Bay , 1960-61, in association with Cain Nunatak (q.v.) (APC, 1964, p.2; BAS 250 sheet SP 21-22/13, 1-DOS 1974).",GBR,-63.55,-57.6833,POINT (-57.683333 -63.55),11,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37ec,Abele Spur,Abele Spur,107425,,Spur,"rising to c. 1600m between Mount Lechner and Herring Nunataks, Forrestal Range, Pensacola Mountains, was photographed from the air by USN in 1964 and surveyed from the ground by USGS in 1966; named after Gunars Abele, civil engineer on USACRREL survey of the area, 1973-74 (APC, 1980, p.3).  Abele Spur (USGS sheet SU 21-25/14, 1988)",GBR,-83.2167,-51.0833,POINT (-51.083333 -83.216667),13,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37ed,Abendroth Peak,Abendroth Peak,107426,,Peak,"rising to c. 1200m S of head of Lehrke Inlet, Black Coast, was photographed from the air by USN in 1966 and surveyed from the ground by BAS from  Stonington Island , 1972-73; named after Ernst Karl Abendroth, USARP biologist,  Palmer Station , 1968 (BAS, 250 sheet SR 19-20/16, 1-DOS 1976; APC, 1977, p.3).",GBR,-71.1,-61.9667,POINT (-61.966667 -71.1),14,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37ee,Abernethy Flats,Abernethy Flats,107427,,,"at head of Brandy Bay, James Ross Island, were surveyed by FIDS from  Hope Bay , 1952-54; following geological work by BAS, 1981-83, named after Thomas Abernethy, Gunner in HMS Erebus of the British naval expedition, 1839-43 (Capt. James Ross, RN); Able Seaman in HMS Fury (Capt. W. E. Parry, RN), British North-west Passage expedition, 1821-23; Second Mate in HMS Victory (Capt. John Ross, RN), British North-west Pass-  age expedition, 1829-33, who sledged with James Ross to the North Magnetic Pole (Thomson, 1984, map Fig. 1B, p. 309; APC, 1986, p. 3).",GBR,-63.8667,-57.9,POINT (-57.9 -63.866667),15,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37ef,Ablation Lake,Ablation Lake,107428,,Water body,"a pro-glacial tidal lake in Ablation Valley (q.v.), Alexander Island, with stratified saline and fresh water, and dammed in its upper part by George VI Ice Shelf, was named in association with the valley and following limnological research by BAS from 1973 (APC, 1980, p.3; Clapperton and Sugden, 1983, map Fig. 2).",GBR,-70.8167,-68.4333,POINT (-68.433333 -70.816667),16,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37f0,Ablation Point,Ablation Point,107429,,Point,"E extremity of rock ridge rising to 550m and forming N entrance point of Ablation Valley (q.v.), was surveyed and used as a site for FIDS depots in 1948-49 (Fuchs, 1951b, p.20-21); named in association with the valley (APC, 1955, p.4; USHO chart 6638, 1956; DOS 610 sheet W7068, 1960). Mys Ableyshen (Soviet Union. MMF chart, 1961).  Punta Ablacion (Argentina. AA, 1991, p.1)",GBR,-70.8,-68.35,POINT (-68.35 -70.8),17,United Kingdom,826
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_37f1,Ablation Valley,Ablation Valley,107430,,Valley,"mainly ice-free W-E valley on E coast of Alexander Island, S of Ablation Point, was photographed from the air by Ellsworth in November 1935 and subsequently mapped by Joerg (1937, map facing p.444); following survey by BGLE in October 1936, named at its mouth Ablation Bay (Rymill, 1938a, p.511) or Ablation Camp (Stephenson and Fleming, 1940, p.160-61 and photograph p.162; Stephenson, 1940, p.173 and map facing p.232), because of the limited snow and ice cover. Ablation Valley (APC, 1955, p.4; DOS 610 sheet W 70 68, 1960). The valley was remapped by a University of Aberdeen party, supported by BAS, in 1978-79 (Sugden and Clapperton, 1980).",GBR,-70.8167,-68.4167,POINT (-68.416667 -70.816667),18,United Kingdom,826
